roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
359,rock,rock,paper,lose,order-1,True,0.0046,1787898731239
360,rock,rock,paper,lose,order-1,True,0.0049,1787898731339
361,rock,rock,paper,lose,order-1,True,0.0048,1787898731439
362,rock,rock,paper,lose,order-1,True,0.0044,1787898731539
363,rock,rock,paper,lose,order-1,True,0.004,1787898731639
364,rock,rock,paper,lose,order-1,True,0.005,1787898731739
365,rock,rock,scissors,win,random,True,0.0065,1787898731839
366,rock,rock,rock,tie,random,True,0.0039,1787898731939
367,rock,rock,scissors,win,random,True,0.0054,1787898732039
368,rock,rock,paper,lose,order-1,True,0.0051,1787898732139
369,rock,rock,paper,lose,order-1,True,0.0048,1787898732239
370,rock,rock,paper,lose,order-1,True,0.0044,1787898732339
371,rock,rock,paper,lose,order-1,True,0.0046,1787898732439
372,rock,rock,paper,lose,order-1,True,0.0049,1787898732539
373,rock,rock,paper,lose,order-1,True,0.0048,1787898732639
374,rock,rock,paper,lose,order-1,True,0.0039,1787898732739
375,rock,rock,paper,lose,order-1,True,0.0031,1787898732840
376,rock,rock,paper,lose,order-1,True,0.0026,1787898732940
377,rock,rock,paper,lose,order-1,True,0.0027,1787898733040
378,rock,rock,paper,lose,order-1,True,0.0044,1787898733140
379,rock,rock,paper,lose,order-1,True,0.1574,1787898733240
380,rock,rock,paper,lose,order-1,True,0.0062,1787898733340
381,rock,rock,paper,lose,order-1,True,0.0055,1787898733440
382,rock,rock,paper,lose,order-1,True,0.0053,1787898733540
383,rock,rock,paper,lose,order-1,True,0.0046,1787898733640
384,rock,rock,scissors,win,random,True,0.004,1787898733740
385,rock,rock,scissors,win,random,True,0.0033,1787898733840
386,rock,rock,paper,lose,order-1,True,0.0029,1787898733940
387,rock,rock,paper,lose,order-1,True,0.0027,1787898734040
388,rock,rock,paper,lose,order-1,True,0.0026,1787898734140
389,rock,rock,paper,lose,order-1,True,0.0026,1787898734240
390,rock,rock,paper,lose,order-1,True,0.0045,1787898734340
391,rock,rock,paper,lose,order-1,True,0.0046,1787898734440
392,rock,rock,paper,lose,order-1,True,0.0046,1787898734540
393,rock,rock,paper,lose,order-1,True,0.0043,1787898734640
394,rock,rock,paper,lose,order-1,True,0.0041,1787898734740
395,rock,rock,paper,lose,order-1,True,0.0038,1787898734840
396,rock,rock,paper,lose,order-1,True,0.0051,1787898734940
397,rock,rock,paper,lose,order-1,True,0.0041,1787898735040
398,rock,rock,paper,lose,order-1,True,0.004,1787898735140
399,rock,rock,paper,lose,order-1,True,0.0039,1787898735240
400,rock,rock,paper,lose,order-1,True,0.004,1787898735340
401,rock,rock,scissors,win,random,True,0.0051,1787898735440
402,rock,rock,paper,lose,order-1,True,0.0039,1787898735540
403,rock,rock,paper,lose,random,True,0.0039,1787898735640
404,rock,rock,paper,lose,order-1,True,0.0039,1787898735740
405,rock,rock,paper,lose,order-1,True,0.0044,1787898735840
406,rock,rock,paper,lose,order-1,True,0.0041,1787898735940
407,rock,rock,paper,lose,order-1,True,0.0049,1787898736040
408,rock,rock,paper,lose,order-1,True,0.0038,1787898736140
409,rock,rock,paper,lose,order-1,True,0.004,1787898736240
410,rock,rock,paper,lose,order-1,True,0.004,1787898736340
411,rock,rock,paper,lose,order-1,True,0.004,1787898736440
412,rock,rock,paper,lose,order-1,True,0.0043,1787898736540
413,rock,rock,paper,lose,order-1,True,0.0041,1787898736640
414,rock,rock,paper,lose,order-1,True,0.0039,1787898736740
415,rock,rock,paper,lose,order-1,True,0.0046,1787898736840
416,rock,rock,rock,tie,random,True,0.0049,1787898736940
417,rock,rock,paper,lose,order-1,True,0.0044,1787898737040
418,rock,rock,paper,lose,order-1,True,0.0041,1787898737140
419,rock,rock,paper,lose,order-1,True,0.0038,1787898737240
420,rock,rock,paper,lose,order-1,True,0.0039,1787898737340
421,rock,rock,paper,lose,order-1,True,0.0041,1787898737440
422,rock,rock,paper,lose,order-1,True,0.0039,1787898737540
423,rock,rock,paper,lose,order-1,True,0.004,1787898737640
424,rock,rock,paper,lose,order-1,True,0.004,1787898737740
425,rock,rock,paper,lose,order-1,True,0.0038,1787898737840
426,rock,rock,paper,lose,order-1,True,0.0047,1787898737940
427,rock,rock,paper,lose,order-1,True,0.0048,1787898738040
428,rock,rock,paper,lose,order-1,True,0.0028,1787898738140
429,rock,rock,paper,lose,order-1,True,0.0026,1787898738240
