roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
293,scissors,scissors,rock,lose,order-2,True,0.005,1787898724703
294,rock,rock,paper,lose,order-2,True,0.0049,1787898724803
295,paper,paper,scissors,lose,order-2,True,0.0046,1787898724903
296,scissors,scissors,rock,lose,order-2,True,0.0048,1787898725003
297,rock,rock,paper,lose,order-2,True,0.0028,1787898725103
298,paper,paper,scissors,lose,order-2,True,0.0027,1787898725203
299,scissors,scissors,rock,lose,order-2,True,0.0027,1787898725303
300,rock,rock,paper,lose,order-2,True,0.0027,1787898725403
301,paper,paper,scissors,lose,order-2,True,0.0027,1787898725503
302,scissors,scissors,rock,lose,order-2,True,0.0031,1787898725603
303,rock,rock,paper,lose,order-2,True,0.0027,1787898725703
304,paper,paper,paper,tie,random,True,0.0037,1787898725803
305,scissors,scissors,rock,lose,order-2,True,0.0027,1787898725903
306,rock,rock,paper,lose,order-2,True,0.0028,1787898726003
307,paper,paper,scissors,lose,order-2,True,0.0039,1787898726103
308,scissors,scissors,rock,lose,order-2,True,0.0047,1787898726203
309,rock,rock,paper,lose,order-2,True,0.0047,1787898726304
310,paper,paper,scissors,lose,order-2,True,0.003,1787898726404
311,scissors,scissors,rock,lose,order-2,True,0.0045,1787898726504
312,rock,rock,paper,lose,order-2,True,0.0033,1787898726604
313,paper,paper,scissors,lose,order-2,True,0.0027,1787898726704
314,scissors,scissors,rock,lose,order-2,True,0.0038,1787898726804
315,rock,rock,paper,lose,order-2,True,0.0029,1787898726904
316,paper,paper,scissors,lose,order-2,True,0.0029,1787898727004
317,scissors,scissors,rock,lose,order-2,True,0.0029,1787898727104
318,rock,rock,paper,lose,order-2,True,0.0028,1787898727204
319,paper,paper,scissors,lose,order-2,True,0.0028,1787898727304
320,scissors,scissors,rock,lose,order-2,True,0.0032,1787898727404
321,rock,rock,paper,lose,order-2,True,0.0027,1787898727504
322,paper,paper,scissors,lose,order-2,True,0.0029,1787898727604
323,scissors,scissors,paper,win,random,True,0.0031,1787898727704
324,scissors,rock,paper,win,order-2,False,0.0028,1787898727804
325,scissors,rock,paper,win,order-1,False,0.002,1787898727904
326,scissors,scissors,rock,lose,order-2,True,0.0029,1787898728004
327,rock,scissors,rock,tie,order-2,False,0.003,1787898728104
328,paper,paper,rock,win,random,True,0.0033,1787898728204
329,paper,scissors,rock,win,order-2,False,0.0028,1787898728304
330,paper,scissors,rock,win,order-1,False,0.002,1787898728404
331,paper,paper,scissors,lose,order-2,True,0.0027,1787898728504
332,scissors,paper,scissors,tie,order-2,False,0.0026,1787898728604
333,rock,rock,paper,lose,random,True,0.0029,1787898728704
334,paper,paper,scissors,lose,order-2,True,0.0029,1787898728804
335,scissors,scissors,rock,lose,order-2,True,0.0028,1787898728904
336,rock,rock,paper,lose,order-2,True,0.004,1787898729004
337,paper,paper,scissors,lose,order-2,True,0.005,1787898729104
338,scissors,scissors,rock,lose,order-2,True,0.0048,1787898729204
339,rock,rock,paper,lose,order-2,True,0.0047,1787898729304
340,paper,paper,scissors,lose,order-2,True,0.0052,1787898729404
341,scissors,scissors,rock,lose,order-2,True,0.0046,1787898729504
342,rock,rock,paper,lose,order-2,True,0.005,1787898729604
343,paper,paper,scissors,lose,random,True,0.0043,1787898729704
344,scissors,scissors,rock,lose,order-2,True,0.005,1787898729804
345,rock,rock,paper,lose,order-2,True,0.0028,1787898729904
346,paper,paper,scissors,lose,order-2,True,0.0028,1787898730004
347,scissors,scissors,paper,win,random,True,0.0039,1787898730104
348,scissors,rock,paper,win,order-2,False,0.0027,1787898730204
349,scissors,scissors,rock,lose,order-2,True,0.0032,1787898730304
350,rock,scissors,rock,tie,order-2,False,0.0028,1787898730404
